stid,seqNum,latitude,longitude,time,behavior
2582176,190,35.21694,-80.92996,2025-04-12 11:25:53+00:00,1
2582176,71,35.21695,-80.92996,2025-04-12 11:25:54+00:00,1
2582176,201,35.21695,-80.92996,2025-04-12 11:25:55+00:00,1
2582176,82,35.21695,-80.92996,2025-04-12 11:25:56+00:00,1
2582176,211,35.21695,-80.92996,2025-04-12 11:25:57+00:00,1
2582176,91,35.21695,-80.92996,2025-04-12 11:25:58+00:00,1
2582176,227,35.21695,-80.92996,2025-04-12 11:25:59+00:00,1
2582176,103,35.21695,-80.92996,2025-04-12 11:26:00+00:00,1
2582176,240,35.21695,-80.92996,2025-04-12 11:26:01+00:00,1
2582176,119,35.21695,-80.92996,2025-04-12 11:26:02+00:00,1
2582176,253,35.21695,-80.92996,2025-04-12 11:26:03+00:00,1
2582176,179,35.21695,-80.92996,2025-04-12 11:38:41+00:00,1
2582176,71,35.21695,-80.92996,2025-04-12 11:38:42+00:00,1
2582176,233,35.21694,-80.92996,2025-04-12 11:38:43+00:00,1
2582176,142,35.21694,-80.92996,2025-04-12 11:38:44+00:00,1
2582176,31,35.21694,-80.92996,2025-04-12 11:38:45+00:00,1
2582176,178,35.21694,-80.92996,2025-04-12 11:38:46+00:00,1
2582176,72,35.21694,-80.92996,2025-04-12 11:38:47+00:00,1
2582176,230,35.21694,-80.92996,2025-04-12 11:38:48+00:00,1
2582176,137,35.21694,-80.92996,2025-04-12 11:38:49+00:00,1
2582176,27,35.21695,-80.92996,2025-04-12 11:38:50+00:00,1
2582176,176,35.21695,-80.92996,2025-04-12 11:38:51+00:00,1
2582176,70,35.21695,-80.92996,2025-04-12 11:38:52+00:00,1
2582176,217,35.21694,-80.92996,2025-04-12 11:38:53+00:00,1
2582176,130,35.21694,-80.92996,2025-04-12 11:38:54+00:00,1
2582176,24,35.21694,-80.92996,2025-04-12 11:38:55+00:00,1
2582176,206,35.21693,-80.92995,2025-04-12 11:54:39+00:00,1
2582176,77,35.21693,-80.92995,2025-04-12 11:54:40+00:00,1
2582176,212,35.21693,-80.92995,2025-04-12 11:54:41+00:00,1
2582176,89,35.21693,-80.92995,2025-04-12 11:54:42+00:00,1
2582176,223,35.21693,-80.92995,2025-04-12 11:54:43+00:00,1
2582176,97,35.21693,-80.92995,2025-04-12 11:54:44+00:00,1
2582176,228,35.21693,-80.92995,2025-04-12 11:54:45+00:00,1
2582176,106,35.21693,-80.92995,2025-04-12 11:54:46+00:00,1
2582176,236,35.21693,-80.92995,2025-04-12 11:54:47+00:00,1
2582176,113,35.21693,-80.92995,2025-04-12 11:54:48+00:00,1
2582176,240,35.21693,-80.92995,2025-04-12 11:54:49+00:00,1
2582176,114,35.21693,-80.92995,2025-04-12 11:54:50+00:00,1
2582176,245,35.21693,-80.92995,2025-04-12 11:54:51+00:00,1
2584077,39,35.20169,-80.93985,2025-04-12 11:10:45+00:00,1
2584077,144,35.20169,-80.93985,2025-04-12 11:10:46+00:00,1
2584077,251,35.20169,-80.93985,2025-04-12 11:10:47+00:00,1
2584077,1,35.20169,-80.93985,2025-04-12 11:10:48+00:00,1
2584077,107,35.20169,-80.93985,2025-04-12 11:10:49+00:00,1
2584077,213,35.20169,-80.93985,2025-04-12 11:10:50+00:00,1
2584077,59,35.20169,-80.93985,2025-04-12 11:10:51+00:00,1
2584077,167,35.20169,-80.93985,2025-04-12 11:10:52+00:00,1
2584077,20,35.20169,-80.93985,2025-04-12 11:10:53+00:00,1
2584077,127,35.20169,-80.93985,2025-04-12 11:10:54+00:00,1
2584077,237,35.20169,-80.93985,2025-04-12 11:10:55+00:00,1
2584077,92,35.20169,-80.93985,2025-04-12 11:10:56+00:00,1
2584077,200,35.20169,-80.93985,2025-04-12 11:10:57+00:00,1
2584077,71,35.20169,-80.93985,2025-04-12 11:25:50+00:00,1
2584077,204,35.20169,-80.93985,2025-04-12 11:25:51+00:00,1
2584077,94,35.20169,-80.93985,2025-04-12 11:25:52+00:00,1
2584077,224,35.20169,-80.93985,2025-04-12 11:25:53+00:00,1
2584077,103,35.20169,-80.93985,2025-04-12 11:25:54+00:00,1
2584077,231,35.20169,-80.93985,2025-04-12 11:25:55+00:00,1
2584077,240,35.20169,-80.93985,2025-04-12 11:25:56+00:00,1
2584077,115,35.20169,-80.93985,2025-04-12 11:25:57+00:00,1
2584077,253,35.20169,-80.93985,2025-04-12 11:25:58+00:00,1
2584077,133,35.20169,-80.93985,2025-04-12 11:25:59+00:00,1
2584077,11,35.20169,-80.93985,2025-04-12 11:26:00+00:00,1
2584077,148,35.20169,-80.93985,2025-04-12 11:26:01+00:00,1
2584077,27,35.20169,-80.93985,2025-04-12 11:26:02+00:00,1
2584077,161,35.20169,-80.93985,2025-04-12 11:26:03+00:00,1
2584077,216,35.20169,-80.93985,2025-04-12 11:38:41+00:00,1
2584077,108,35.20169,-80.93985,2025-04-12 11:38:42+00:00,1
2584077,11,35.20169,-80.93985,2025-04-12 11:38:43+00:00,1
2584077,176,35.20169,-80.93985,2025-04-12 11:38:44+00:00,1
